text,label
tbk tlkm membukukan laba sebesar rp1949 triliun rp19684 per saham pada januarijuni 2023 naik 176 jika dibandingkan pada periode sama 2022 pendapatan bersih tlkm mencapai rp11124 triliun pada januariseptember 2023 atau tumbuh 22 yang dikontribusi dari kinerja,Positif
perdagangan kembali dibuka ihsg anjlok 7,Negatif
transaksi bursa karbon hingga 16 februari 2024 capai rp 3136 m,Positif
ihsg incar 7100 rekomendasi saham antm bbni itmg towr untr,Positif
breaking ihsg anjlok 2 lebih 2 saham prajogo turun tajam,Negatif
saat anggota dpr curhat sulit klaim rp12 juta ke agen asuransi,Netral
warren buffett beri nasihat keuangan untuk para orang tua,Netral
wakil direktur utama bri catur budi hartoprogram merupakan bagian aksi nyata bri dalam pemulihan pelestarian ekosistem berkelanjutan,Netral
jelang rilis kinerja nvidia nasdaq sp500 tergelincir,Negatif
direktur smra dipanggil kpk manajemen buka suara,Negatif
bni bbni minta dibentuk panitia kreditor sritex sril,Netral
rekening bank jago yang dibobol ternyata diduga hasil tindak pidana,Negatif
kisah raja ritel ri menyerah dan jatuh ke tangan keluarga riady,Netral
pemerintah pede inklusi keuangan ri capai 90 di 2024,Positif
usulan sri mulyani soal anak sd belajar saham mendikdasmen buka suara,Netral
ekonomi ri tumbuh di bawah 5 bos bi buka suara,Negatif
asing kompak borong 10 saham ini saat ihsg ambruk 1 lebih,Positif
punya fondasi kuat bank raya siap jadi pemain utama bank digital,Positif
breaking saham big caps lanjutkan reli ihsg melesat 1 lebih,Positif
pt unilever indonesia tbk unvr akan menyelenggarakan rups tahunan pada 22 juni 2023 pukul 1330 wib pemegang saham yang namanya tercatat dalam daftar pemegang saham unvr pada 23 mei 2023 pukul 1600 wib berhak hadir atau diwakili dalam acara tersebut,Netral
dua minggu pegang saham laba komut huang yeping cuan hampir rp1 m,Positif
duit rp700 miliar ludes garagara love scam cs apa itu,Netral
bsd klaim penjualan rumah di balikpapan meningkat efek proyek ikn,Positif
bentoel rmba udah memutuskan untuk go private sama kayak hmsp mayoritas saham bentoel dipegang oleh british american tobacco bat 925,Netral
jokowi bentar lagi lengser cek daftar harta kekayaan 7 presiden ri,Netral
tak sengaja harta karun emas kerajaan rp 6 m ditemukan di ri,Netral
ihsg dibuka loyo lagi bren masih jadi pemberat,Negatif
bitcoin dapat angin segar pasar kripto kompak hijau,Positif
rupiah masih dalam tekanan dolar dibuka stagnan rp 16185,Negatif
bni himovers perdagangan di bursa efek indonesia bei 2023 resmi ditutup hari ini saham bni mengalami penguatan positif sepanjang tahun saham bbni ditutup pada harga rp5375 per lembar atau naik 165 secara year to date ytd dengan nilai kapitalisasi pasar mencapai rp200,Positif
usai ditinggal sosok penting bank jago kedatangan bankir senior btpn,Netral
prabowo resmikan bank emas pertama di indonesia,Netral
ditopang wondr tabungan bni bbni naik 11 sepanjang 2024,Positif
besok senin saham pak pp yg naik apa ya like nunggu brpt naik lama bgt tpia ini jg udh mulai tanda meroket,Positif
pidato jokowi bikin rupiah perkasa dolar turun ke rp 15685,Positif
kasus suap ipo bei tegaskan ab tak terlibat,Negatif
permintaan ritel anjlok 5 semen indonesia smgr oversupply 100,Negatif
tutup nyaris 1000 kantor cabang bos bri bbri beberkan alasannya,Negatif
wika bangun jalan tol di ikn dapat porsi rp 12 triliun,Positif
ojk kinerja perbankan stabil kredit tumbuh 1236,Positif
mdla mau ipo incar rp805 m simak jadwalnya,Positif
main saham bbca kali ya,Positif
moga bisa cepet berhenti deh b0ikot2nya toh unvr ga pro isriwil jg ditambah udah ada statement mui,Positif
fantastis biaya sekolah sma binus serpong setara 10100 lembar saham bbca,Netral
fokus jelang imlek the fed hawkish mata uang asia loyo,Negatif
ojk dorong konsolidasi bikin bank syariah setara bsi,Positif
kalau asii prof,Netral
indeks bisnis27 dibuka menguat saham bmri untr bfin hijau,Positif
rugi goto kuartal iii 2024 rp431 triliun susut 55,Negatif
pemerintah as pindahkan rp324 triliun kripto di zona merah,Negatif
mau dorong inklusi keuangan ojk perkuat lembaga penilai skor kredit,Positif
sebenarnya agak kurang tepat kalau bilang hmsp gak cocok di idx secara dia udah ngasi keuntungan berlipat ke investornya dulu sama seperti emiten konsumer lain hmsp agak berat di pertumbuhan pendapatan yang stagnan ditambah sama cukai itu sih penekan utama dia,Negatif
bursa saham ri ambruk 5 dalam sepekan ini kata bos btn,Negatif
tumbuh 119 kredit maybank indonesia bnii tembus rp 123 t,Positif
inklusi asuransi turun jadi 12 regulasi asuransi wajib jadi solusi,Negatif
pasar tunggu keputusan bi dolar as turun ke rp 15825,Positif
harga minyak rebound usai trump cabut lisensi chevron di venezuela,Negatif
simak aturan investasi yang bikin warren buffett kaya raya dari saham,Netral
4 tahun bbca 4 tahun bmridr awalnya dikit krena stock split smpe skrng jd puluhan dr yg cuman dpet deviden ratusan rbu udah nyentuh 1jtaan,Positif
goto buka suara soal transaksi nego saham rp 607 triliun,Netral
asing ramairamai borong saham dan sbn ri di juli 2024,Positif
bbri alami 2 kali stock splits artinya harga riil saat neh rp 6125 jika tanpa stock splits berarti rp 61250 cukup mahal lebe murah daripada saham bbca n dssa seh,Negatif
untuk saham top gainer amp top loser hari ini top gainer mkpi rp 27200 425 mcas rp 4350 410 nfcx rp 4050 250 top loser tpia rp 5250 750 mpro rp 2100 380 mega rp 5100 350,Netral
anak usaha big bank china di indonesia mcor angkat dirut baru,Netral
susunan organisasi danantara indonesia ceo rosan ketua dewas erick,Netral
lps kasih bocoran kapan bunga penjaminan bank turun,Netral
dinilai masih murah sejumlah analis rekomendasi beli saham bbni,Netral
alasan banyak investor asing kepincut akuisisi bank ri,Netral
seluruh biaya transaksi di super apps bale gratis ini alasan btn,Netral
laba bersih bni bbni tumbuh 97 di januari 2025,Positif
ini bukti bahwa pasar pun merespon negatif paslon ini saham hm sampoerna hmsp kebakaran usai klaim boy thohir dukung prabowo lewat,Negatif
hore qris bisa dipakai di jepang china tahun ini,Positif
harga naik 132 sebulan bei gembok saham jspt,Negatif
ihsg makin merana baru 20 menit sudah ambruk 2,Negatif
btn bbtn bagikan dividen rp 7518 m setara rp 5357 per saham,Positif
manoj punjabi mau caplok 80 saham netv rogoh rp 165 t,Positif
ihsg sepekan keok diombangambing emiten orang terkaya ri,Negatif
xl smart resmi merger ini kata dua pemegang saham,Netral
kalo dari rasio investasi bisa dilihat memang eps yang dicerminkan dari trend turunnya harga saham unvr lebih tinggi dibanding ratarata industri,Negatif
bei bakal tunjuk sekuritas yang bisa jadi market maker,Netral
hari pertama melantai di bursa anak usaha adaro aadi langsung ara,Positif
bedah saham asuransi grup pertamina tugu ini rekomendasinya,Netral
56 investor ri berumur 30 tahun kurang tapi 60 aset dikuasai boomer,Netral
emiten prajogo cuan tambah kepemilikan saham di ptro rp 27 miliar,Positif
pmi manufaktur ri anjlok ini tanggapan sri mulyani,Negatif
tak nyangka ada peran dukun di balik kesuksesan bisnis salim,Netral
ihsg berakhir loyo 7 saham ini jadi penekan,Negatif
investor tunggu rilis laba big tech wall street dibuka cerah,Positif
saham rokok ggrm hmsp itic wiim rontok setelah rapbn 2022 dibacakan ada apa sahamsaham emiten rokok anjlok ke zona merah meski indeks harga saham gabungan pada rabu 1882021 berada di zona hijau a a share,Negatif
bisnis tidak semanis minumannya teguk tguk tutup ratusan gerai,Negatif
sosok bos alfamart dan indomaret siapa lebih tajir,Netral
ihsg balik merana bank raksasa jadi biang kerok lagi,Negatif
biaya hidup mahal bikin warga ri susah bayar cicilan mobil motor,Netral
klo udah beli saham model bbri tlkm harusnya tinggal tidur aja der,Positif
sah prabowo subianto luncurkan danantara,Netral
untuk saham top gainer amp top loser hari ini top gainer tkim rp 9900 725 inkp rp 11150 650 dcii rp 34000 400 top loser msin rp 1980 660 cbut rp 2970 500 byan rp 18900 400,Netral
apbn tekor awal tahun asing kabur lagi bawa rp897 m dari pasar modal,Negatif
anak usaha asli terima kontrak proyek ikn segini nilainya,Netral
saham goto dan astra asii menghijau pada perdagangan 30 januari 2024,Positif
ihsg dibuka merana mengekor bursa asia dan wall street,Negatif
bank di purworejo ditutup ojk jadi yang kelima tahun ini,Negatif
brms kasih kabar baik soal kinerja keuangan jelang akhir tahun,Netral
soal nasib ina usai peresmian danantara ini kata erick thohir,Netral
wamen tiko beri bocoran bumn ini bakal segera digabung ini sektornya,Netral
bos bni bbni optimis kinerja semester ii moncer ini alasannya,Positif
arsjadanin bakrie buka suara soal rencana buyback saham indyvktr,Netral
trump makin kuat jadi presiden as harga bitcoin tembus rp 106 m,Netral
ojk terima 57426 laporan scam warga ri rugi rp 9943 miliar,Negatif
bi angkat bicara dolar as tembus rp16000 siap intervensi,Negatif
ojk buka suara soal gagal bayar anak usaha koinworks,Netral
bni salurkan pembiayaan supply chain ke mitra bumi serpong damai,Positif
penjualan batu bara bumi capai 787 juta ton di 2023,Positif
ekspor di bawah us250000 per transaksi tak kena kewajiban dhe baru,Netral
harga bitcoin masih rp 900 jutaan jelang pekan pesta buat investor,Netral
breaking jelang rilis data inflasi dolar melesat ke rp16210,Negatif
ocbc indonesia nisp mau buyback saham rp 800 juta,Positif
penjualan mobil motor suram kredit macet multifinance naik,Negatif
kencangkan sabuk pengaman 2025 bakal jadi tahun mergerakuisisi bank,Netral
pemerintah godok aturan dana pensiun bakal ada iuran tambahan,Netral
harga batu bara cetak rekor 11 sahamnya di ri terbang,Positif
masyarakat ri ngerem beli mobil baru multifinance banting setir,Netral
ihsg masih lanjut koreksi dibuka turun 02,Negatif
bos bi pede kredit moncer bisa tumbuh di atas 10,Positif
rupiah bergerak stagnan dolar bertahan di rp15520,Netral
intip harta dan profil anggota dpr termuda annisa mahesa,Netral
breaking rupiah balik perkasa dolar anjok ke rp15070,Positif
bankir beberkan bukti baru soal isi kantong warga kelas menengah ri,Netral
hari ini cum dividen bali rp 30 cum right issue tpia tiap pemegang 47 saham lama berhak menebus 10 saham baru di harga rp 4082 kemarin harga tpia turun 23 ke rp 8375 ex dividen csap rp 4 gjtl rp 10 inci rp 25 dan film rp 11,Positif
erick thohir selamatkan indofarma kalau ada korupsi kita tangkap,Netral
bisnis wealth management makin prospektif kala kelas menengah seret,Positif
10 tahun berdiri mcdonalds di tempat ini tutup gerai,Negatif
mind id kuasai 34 saham inco saham vale canada susut jadi segini,Positif
timur tengah makin panas harga minyak bisa tembus us 100 per barel,Negatif
ditutup turun 2 ihsg kembali ke 6200an,Negatif
prajogo borong rp181 m saham bren bei peringatkan ini,Positif
bos antam bukabukaan alasan emas jadi kontributor utama pendapatan,Netral
saham pp kembali beraksi tpia bren ptro brpt naik kecuali cuan yang masih arb,Netral
bantah isu diakuisisi grab ini pernyataan resmi manajemen goto,Netral
02 udah jelas bagus saham blue chip tiada tanding bca bri bni telkom auto gacor bos,Positif
cerita orang terkaya ri kena semprot penjual beras ini penyebabnya,Netral
ihsg ambruk sebelum pilkada asing terciduk lego 10 saham ini,Negatif
pendiri dan tiga direksi erajaya eraa mengundurkan diri,Negatif
ihsg ditutup naik 011 tibatiba emiten salim dnet jadi penopang,Positif
rupiah kebakaran dolar ditutup naik 200 poin sehari ke rp16285,Negatif
2023 msig life cairkan klaim kesehatan dan kematian rp 608 m,Positif
unvr telah mengumumkan rencananya untuk memberikan dividen interim sebesar rp 63 per saham kepada para pemegang sahamnya,Positif
bsi bris pakai ai buat incar gen z,Netral
bri himbau masyarakat jaga keamanan transaksi lewat brimerchant,Positif
laba adhi karya adhi naik 1946 jadi rp6932 miliar,Positif
indeks keyakinan konsumen bi melambat jadi 1272 di januari 2025,Negatif
bukalapak minta restu investor utak atik dana ipo,Netral
investor asing jualan saham hingga ihsg turun bbca paling besar,Negatif
tak kuat modal 10 asuransi tak lanjutkan usaha syariah,Negatif
bbrp saham yang mengslami perubahan dalam index lq45 mulai mendapat flow spt ptmp 268 1754 tpia 5250 498 pgeo 1320 518,Netral
reksadana tabungan emas pegadaian beli properti saham bbca,Positif
dana asing tibatiba mengalir deras ke indonesia ini buktinya,Positif
jadwal lengkap ipo adaro andalan aadi catat tanggal dan harganya,Netral
sritex pabrik pembuat seragam militerrompi anti peluru mau bangkrut,Negatif
profil biro klasifikasi indonesia kendaraan operasional danantara,Netral
struktur ipo cuan ara 25arb 7 no waran public 1690000000 lbr 15 harga ipo 200220 modal 200 modal saham 11241890000 lbr incar dana 3718 m uw hp henan putirai dan od bri struktur biasa aja nilai 5 pemilik nya cuan sama dengan brpt tpia,Netral
the fed bikin investor degdegan pasar kripto bergerak mix,Negatif
sigit prastowo direktur keuangan amp strategi pt bank mandiri persero tbk bmri membeli 225000 saham bmri dengan harga rp5875 per saham pada 7 september 2023 setelah transaksi tersebut sigit prastowo memiliki 6113800 saham bmri,Positif
gegara china suriah harga minyak dunia melejit,Negatif
bni rombak total jajaran komisaris omar sjawaldy anwar jadi komut,Netral
bankir kompak bilang gini soal nasib ekonomi ri di tangan prabowo,Netral
saham tugu cetak rekor tertinggi seminggu naik 885,Positif
just saran buat yg baru atau mau terjun atau invest dipersahaman misal kita ingin invest di adro byan batubara setidaknya anda lihat dulu harga coal secara global dunia apakah sedang murah atau mahal lalu cek juga secara teknikal apakah sedang bulish cont,Netral
penguatan berlanjut rupiah balik ke posisi terkuat tahun ini,Positif
perkuat kapabilitas digital bri gandeng tencent cloud dan hi cloud,Positif
2 data ekonomi as dinanti pasar kripto di zona merah,Negatif
semen indonesia smgr jelaskan kinerja hi tekanan tanggal merah,Netral
live now bos bri bukabukaan soal investasi cuan di tahun naga kayu,Netral
emiten batu bara doid pede kinerja tahun depan ini alasannya,Positif
rasio utang terhadap ekuitas atau sering disebut debt to equity ratio der mudah untuk dihitung contoh lihat dari laporan tahunan astra international asii pada tahun q3 2023 anda dapat melihat bahwa total ekuitas pemegang saham adalah rp 190 triliun beberapa baris di…,Netral
id food bukukan pertumbuhan pendapatan 20 sepanjang 2024,Positif
ptpp raih kontrak baru senilai rp 29 triliun hingga februari 2025,Positif
emiten bank digital adu laba satu masih rugi,Netral
bsi masuk top 10 global islamic bank erick lebih cepat dari target,Positif
jokowi waswas lebih dari 96 negara jadi pasien imf sekarang,Negatif
harga saham melonjak 100 lebih bei pantau ketat dua emiten ini,Negatif
mandiri jadi official banking partner konser bruno mars cek infonya,Positif
ihsg ditutup ditutup melemah 059 persen ke level 676675 seiring dengan penurunan saham blue chip unvr asii hingga byan,Negatif
pria india pikir kaya raya dari kripto ternyata,Netral
ngekor wall street lagi bursa asia dibuka sumringah,Positif
berlaku 2024 segini saldo minimum rekening bca mandiri bni bri,Netral
sritex phk massal bursa ungkap nasib sahamnya,Negatif
bankir teriak soal likuiditas bi beberkan kondisi terkini,Netral
ihsg berpeluang menguat ke 7350 cek rekomendasi saham indf klbf hingga tlkm,Positif
the fed tak naikkan suku bunga saham bbri bbca bmri dan bbni laris,Positif
ini kekhawatiran lembaga asing soal ekonomi ri di tangan prabowo,Negatif
saham adaro andalan aadi diserbu terbang 88 dalam lima hari,Positif
adu kuat senjata di timur tengah masih panas harga minyak terbang 5,Negatif
bni siapkan uang tunai rp 1974 triliun selama libur nataru,Positif
ihsg loyo ngekor bursa global 5 saham ini jadi penekannya,Negatif
ihsg bergairah lagi balik ke level 7300 ditopang kinerja saham bmri,Positif
menteri ara usul btn ganti nama ini alasannya,Netral
orang terkaya di indonesia low tuck kwong kembali memborong saham pt bayan resources tbk byan,Positif
bank sentral inggris ingatkan sektor keuangan dunia dalam bahaya,Negatif
setop operasi 5 bulan toba pulp inru ungkap sebabnya,Negatif
lim chai hock direktur pt bayan resources tbk byan membeli 124300 saham byan dengan harga ratarata rp2000091 per saham pada 17 27 januari 2023 setelah transaksi tersebut lim chai hock memiliki 1086789300 326 saham byan,Positif
resmi ojk bolehkan emiten buyback tanpa rups,Netral
saham sawit haji isam jarr terbang usai pelantikan menteri prabowo,Positif
ojk tolak dedi setiawan jadi komisaris clipan finance cfin,Netral
kredit bank tumbuh dua digit kok ekonomi ri malah lesu,Negatif
jumat berkah rupiah cerah dolar as kini rp16280,Positif
bi ramal ekonomi 2025 tumbuh 52 dolar as bisa rp15285,Netral
pinjol masuk slik ojk bankir protes ini,Negatif
investasi ini bakal moncer pasca pelantikan trump damai di gaza,Positif
hmsp dan unvr blucip juga kan kalau pemodal besar buang portofolionya harga saham nyungsep juga kok,Negatif
transformasi telkom bukukan pendapatan rp1112 triliun dan pertumbuhan laba bersih hingga 176 yoy pt telkom indonesia tbk tlkm membukukan laba sebesar rp1949 triliun rp19684 per saham pada januarijuni 2023 naik 176 jika dibandingkan pada periode sama,Positif
byan bakal bagi dividen sebesar rp 77 triliun,Positif
harga meroket bursa pantau ketat saham inpc dan care,Negatif
pemicu saham chandra asri tpia cetak rekor sepanjang masa,Positif
bos bi bocorkan 3 fokus penting investor di 2025,Netral
laba alamtri adro turun 16 jadi rp 2268 triliun di 2024,Negatif
tlkm apa kabar udah tp apa udah ada yg jadi tersangka 🤣,Negatif
banyak menanti data as hari ini waspada rupiah masih potensi melemah,Negatif
kisah runtuhnya raja ritel ri di balik kelahiran matahari,Netral
yakni menguasai 4188 saham di tpia prajogo juga mencatatkan kepemilikan langsung sebesar 1506 saham mengacu data rti per 31 desember 2020 harta kekayaan prajogo bertambah lantaran saham yang menjadi portofolio bisnisnya bergerak menguat,Positif
terlempar dari ftse emiten prajogo bren ungkap fakta ini,Netral
796 ribu agenbrilink siap layani masyarakat selama libur lebaran,Positif
bukan karena boikot analis ungkap alasan turunnya saham unvr,Negatif
dolar as tembus rp 16400 airlangga kita monitor saja,Negatif
sidang pkpu bukalapak buka beberkan bukti ini lawan harmas,Netral
terungkap ternyata ini alasan tuyul tidak curi uang di bank,Netral
bsi siap akuisisi bank syariah lain ini bocorannya,Positif
btn ungkap rencana lain setelah akuisisi bank victoria syariah,Netral
sering kontroversi robert kiyosaki tidak lulus kuliah gagal bisnis,Netral
nasib 16 saham sitaan kejagung bei bisa delisting dibubarkan,Negatif
indeks bisnis27 dibuka menguat saham untr tpia amp bbca paling ngegas,Positif
cek rekomendasi saham medc asii serta bfin dari ajaib sekuritas hari terakhir pekan 121 regular investors,Netral
yusuf mansur kalah gugatan mesti ganti rugi investasi batu bara rp4 m,Negatif
saham astra asii merosot 28 persen usai cenderung menguat dalam 4 hari terakhir seiring dibayangi sejumlah sentimen negatif,Negatif
laba bersih emiten properti ini naik 2267 di kuartal iii2024,Positif
stok kurang harga beras di kalteng tembus rp18800kg,Negatif
bocoran luhut prabowo temui investor pasar modal usai lebaran,Netral
4 direksi terciduk lego 1054 juta saham amman ammn ada apa,Negatif
fee based income bni bbni tembus rp109 t ternyata ini sumbernya,Netral
ihsg ngegas balik ke level 7300 sektor saham ini jadi penggerak,Positif
erwin ciputra borong 500000 saham petrosea ptro,Positif
erick thohir mau panggil bosbos bumn ini bocorannya,Netral
ihsg rebound pertanda market optimis dan tidak heran the big four yg paling banyak dibeli pagi ini pasca pemilu adalah saham perbankan bbri bbca bmri bbni,Positif
bos bmri ungkap alasan kopra by mandiri jadi market leader,Netral
sosok haryanto adikoesoemo bos akra yang jadi anggota den,Netral
dulu apa alasan beli saham tsb pak teguh menurut saya itu saham yg valuasinya selalu overprice apalagi unvr,Negatif
profil william li founder akulaku yang paylaternya disetop ojk,Netral
ini prediksi warren buffett soal investasi saham di 2025,Netral
waduh citigroup jadi tempat favorit kriminal cuci uang,Negatif
awal pekan indeks diproyeksikan menguat cermati saham aces auto smgr tpia dan tins,Positif
bsi bris beberkan proyeksi pertumbuhan pembiayaan 2024,Positif
rupiah sentuh level terendah 4 bulan dolar turun ke rp 15995,Negatif
surge wifi kedatangan investor baru ada hashim djojohadikusumo,Positif
tukang becak dapat uang kaget rp 50 miliar mendadak jadi miliarder,Netral
soal danantara ini jawaban lugas menteri bumn erick thohir,Netral
susunan lengkap direksi komisaris id food usai dirombak bumn,Netral
ihsg diprediksi naik analis rekomendasikan saham tlkm hingga adro katadata,Positif
lengkap segini bunga deposito bri bni bca mandiri terbaru,Netral
pemilik dolar as simak ucapan mantan menkeu soal nasib rupiah,Netral
asing jualan lagi rupiah masih rawan longsor,Negatif
bei pantau ketat pergerakan saham itma ship ada apa,Negatif
harga sawit turun laba usaha agribisnis astra turun 39,Negatif
kasus kartel bunga pinjol masuk pemberkasan ini respons kppu ojk,Netral
bakrie brothers bnbr mau kuasi reorganisasi begini kinerjanya,Netral
saham bca 10k sob,Positif
simak ini proyeksi imbal hasil penerbitan obligasi ri 2025,Netral
ihsg lagi full senyum saham ini malah kena tekanan asing,Negatif
engga tambahan lot ekuivalen 5jt itu sedikit di harga sekarang kecuali bbri turun dalem disitu jelas lot akan lebih banyak dapetnya,Netral
bi guyur likuiditas rp 295 t bank swasta terima paling banyak,Positif
aman legal trading berjangka jadi solusi diversifikasi investasi,Positif
ikut anjuran nabi pria as ini kantongi harta rp118 triliun,Netral
bbri adro lagi mau bagi dividen 😋,Positif
dana asing deras masuk ke ri investor luar lepas 10 saham ini,Negatif
kejagung serahkan hasil penguasaan hutan 117 juta hektare,Netral
sritex karam ditelan utang rp 23 t puluhan ribu karyawan terancam phk,Negatif
premi baru tembus rp 13 t msig life sukses jaga pertumbuhan di 2023,Positif
41 asuransi ajukan spin off unit usaha syariah 2 sudah direstui ojk,Netral
5 saham ini jadi biang kerok ihsg ambruk,Negatif
prabowo ingin bumn ri masuk global fortune 500,Netral
pos indonesia targetkan layani 1000 ton kargo haji tahun 2024,Positif
bos bursa menanti kedatangan pelat merah ipo bumn ke mana aja,Netral
menanti sabda jokowi rupiah siap lanjut menguat lagi,Positif
top gainer by change edge rp3025 tkim rp675 inkp rp675 arto rp450 dan tpia rp375,Positif
soal perjanjian damai dengan wdp batal manajemen wsbp buka suara,Netral
sengketa lahan bumi menara internusa bmi minta tunda eksekusi,Negatif
akhir pekan ihsg happy saham big cap ini jadi penggeraknya,Positif
ya tergantung beli asii buat apaan kalo mau cari perusahaan bagus deviden lancar beli di harga berapapun masuk asal rutin cek lapkeu biar gak kemahalan sama kalau beli sama duit dingin dan yang terakhir asal duitnya ada,Netral
resmi merger ojk cabut izin usaha bca multi finance,Netral
ihsg ambruk 11 asing bawa kabur rp 18 triliun dari pasar modal,Negatif
saran aja ke obligasi fr sbn atau saham blue chip kaya bbca bbri bmri itu semua tergantung profil resiko njenengan mas,Netral
piutang pinjol warga ri naik terus sudah tembus rp 785 t,Negatif
jaksa ungkap aliran dana cuci uang harvey moeis ada ke sandra dewi,Negatif
siapa pemilik mal ciputra ini sosoknya,Netral
ihsg berakhir di zona merah dibebani kinerja 5 saham ini,Negatif
cetak kinerja mengesankan bank raya agro pertajam bisnis digital,Positif
begini cara ojk perkuat perlindungan konsumen jasa keuangan,Netral
timur tengah memanas harga minyak malah balik loyo,Negatif
sentimen the fed dan etf bitcoin spot bikin pasar kripto senyum lebar,Positif
danantara bakal kelola seluruh aset begini respons 4 perusahaan bumn,Netral
bi tegaskan ada efek trumpcession di balik pelemahan rupiah,Negatif
bank mandiri bukabukaan soal penggunaan ai di perbankan,Netral
jelang libur natal ihsg merana lagi gagal balik ke 7100an,Negatif
